participant_id,c_wpu,c_pret,c_form,line,groupstatus,gesture_rep,gesture_all
94,1,1,NA,828,PL,0,0
94,6,1,NA,839,PL,0,0
94,3,1,NA,842,PL,0,0
94,2,1,NA,843,PL,0,0
94,2,1,NA,845,PL,0,0
94,2,1,NA,847,PL,0,0
94,1,1,NA,850,PL,0,0
94,5,1,NA,852,PL,0,0
94,4,1,NA,856,PL,0,0
94,1,1,NA,864,PL,0,0
94,6,1,NA,867,PL,0,0
94,4,1,point  - point x 4,870,PL,0,1
94,9,1,NA,881,PL,0,0
94,8,1,NA,882,PL,0,0
94,2,1,NA,903,PL,0,0
94,3,1,NA,905,PL,0,0
94,4,1,NA,907,PL,0,0
94,1,1,NA,915,PL,0,0
94,11,1,NA,917,PL,0,0
94,3,1,NA,920,PL,0,0
94,4,1,NA,921,PL,0,0
94,4,1,NA,924,PL,0,0
94,5,1,NA,925,PL,0,0
94,1,1,NA,928,PL,0,0
94,3,1,NA,929,PL,0,0
94,3,1,NA,930,PL,0,0
94,4,1,NA,931,PL,0,0
94,15,1,NA,1334,PL,0,0
94,2,1,NA,1467,PL,0,0
94,4,1,NA,1504,PL,0,0
94,6,1,NA,1506,PL,0,0
94,3,1,hold~,1512,PL,0,1
94,3,1,hold~,1513,PL,0,1
94,3,1,NA,1514,PL,0,0
94,5,1,hold,1515,PL,0,1
94,5,1,hold~,1516,PL,0,1
94,5,1,hold,1520,PL,0,1
94,1,1,NA,1521,PL,0,0
94,4,1,NA,1522,PL,0,0
94,5,1,hold,1523,PL,0,1
94,3,1,NA,1529,PL,0,0
94,4,1,NA,1531,PL,0,0
94,3,1,NA,1532,PL,0,0
94,4,1,NA,1534,PL,0,0
94,6,1,NA,1537,PL,0,0
94,6,1,NA,1548,PL,0,0
94,6,1,NA,1558,PL,0,0
94,4,1,hold~,1591,PL,0,1
94,1,1,NA,1592,PL,0,0
94,5,1,NA,1593,PL,0,0
94,9,1,NA,1598,PL,0,0
94,7,1,NA,1609,PL,0,0
94,7,1,NA,1610,PL,0,0
94,7,1,NA,1612,PL,0,0
94,6,1,NA,1615,PL,0,0
94,6,1,NA,1616,PL,0,0
94,6,1,NA,1617,PL,0,0
102,1,1,iconic,NA,TD,1,1
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,9,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,14,1,NA,NA,TD,0,0
102,9,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,9,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,11,1,NA,NA,TD,0,0
102,8,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,22,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,9,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,8,1,NA,NA,TD,0,0
102,10,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,4,1,point,NA,TD,0,1
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,4,1,point,NA,TD,0,1
102,1,1,NA,NA,TD,0,0
102,2,1,$,NA,TD,0,1
102,5,1,$,NA,TD,0,1
102,12,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,2,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,12,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,3,1,$,NA,TD,0,1
102,2,1,$,NA,TD,0,1
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,8,1,NA,NA,TD,0,0
102,17,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,7,1,palm,NA,TD,0,1
102,3,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,12,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,14,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,8,1,NA,NA,TD,0,0
102,10,1,NA,NA,TD,0,0
102,4,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,8,1,NA,NA,TD,0,0
102,21,1,NA,NA,TD,0,0
102,1,1,NA,NA,TD,0,0
102,12,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,5,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,1,1,point,NA,TD,0,1
102,4,1,NA,NA,TD,0,0
102,9,1,NA,NA,TD,0,0
102,10,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,6,1,NA,NA,TD,0,0
102,11,1,NA,NA,TD,0,0
102,3,1,NA,NA,TD,0,0
102,7,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,4,1,hold,NA,TD,0,1
103,1,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,7,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,7,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,10,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,10,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,8,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,2,1,shake,NA,TD,0,1
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,7,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,11,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,4,1,point,NA,TD,0,1
103,1,1,NA,NA,TD,0,0
103,7,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,3,1,point,NA,TD,0,1
103,4,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,6,1,hold,NA,TD,0,1
103,6,1,point,NA,TD,0,1
103,2,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,18,1,iconic,NA,TD,1,1
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,9,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,11,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,6,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,4,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,1,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,2,1,NA,NA,TD,0,0
103,3,1,NA,NA,TD,0,0
103,7,1,NA,NA,TD,0,0
103,5,1,NA,NA,TD,0,0
103,9,1,NA,NA,TD,0,0
103,4,1,hero fist,NA,TD,0,1
103,1,1,hero fist,NA,TD,0,1
103,1,1,hero fist,NA,TD,0,1
103,1,1,hero fist,NA,TD,0,1
106,4,1,NA,NA,TD,0,0
106,2,1,NA,NA,TD,0,0
106,4,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,5,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,3,1,NA,NA,TD,0,0
106,8,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,2,1,point,NA,TD,0,1
106,5,1,point~,NA,TD,0,1
106,1,1,NA,NA,TD,0,0
106,4,1,NA,NA,TD,0,0
106,7,1,NA,NA,TD,0,0
106,7,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
106,1,1,NA,NA,TD,0,0
22,8,1,NA,NA,TD,0,0
22,1,1,NA,NA,TD,0,0
22,9,1,NA,NA,TD,0,0
22,3,1,NA,NA,TD,0,0
22,9,1,NA,NA,TD,0,0
22,4,1,NA,NA,TD,0,0
